metric,metric_score,pct_correct,delta_score
momentum,5,0.4710365853658536,2.3567073170731705
momentum,0,0.480952380952381,2.6047619047619044
momentum,4,0.4214876033057851,2.5785123966942147
momentum,3,0.46875,2.869791666666667
momentum,2,0.4904109589041096,2.1589041095890407
momentum,6,0.8,2.8000000000000003
momentum,1,0.5384615384615384,2.519230769230769
overlays,5,0.4098360655737705,2.114754098360656
overlays,4,0.3296703296703297,2.291208791208791
overlays,6,0.6593406593406593,2.230769230769231
overlays,0,0.060109289617486336,2.7650273224043715
overlays,7,0.6229508196721312,2.19672131147541
overlays,8,0.6648351648351648,2.505494505494505
overlays,1,0.24456521739130435,2.4782608695652173
overlays,9,0.9016393442622952,2.9453551912568305
overlays,2,0.4257425742574257,2.537953795379538
overlays,3,0.4754098360655738,2.0491803278688523
other,0,0.4633507853403142,2.6858638743455496
other,1,0.43807763401109057,2.304990757855822
other,3,0.9157894736842104,3.0
other,2,0.4906367041198502,2.464419475655431
score,10,0.538135593220339,2.190677966101694
score,9,0.5591397849462365,2.2795698924731185
score,4,0.21649484536082475,2.453608247422681
score,5,0.18320610687022898,2.603053435114504
score,11,0.5914634146341463,2.1951219512195124
score,6,0.2189349112426036,2.5976331360946747
score,13,0.7592592592592593,2.7407407407407405
score,7,0.4166666666666667,2.455555555555556
score,8,0.5027932960893855,2.3016759776536317
score,12,0.6341463414634146,2.3658536585365857
score,15,0.94,2.98
score,2,0.13953488372093026,2.9069767441860463
score,3,0.15517241379310345,2.5
score,14,0.8478260869565217,2.9565217391304346
score,1,0.0,3.666666666666667
score,17,1.0,2.5
score,16,1.0,3.2
score,0,0.0,4.0
weighted_score,4,0.4114583333333333,2.307291666666667
weighted_score,2,0.2994011976047904,2.3652694610778444
weighted_score,3,0.53125,2.3
weighted_score,1,0.2699386503067485,2.4662576687116564
weighted_score,6,0.3872832369942196,2.248554913294797
weighted_score,0,0.05586592178770949,2.7709497206703912
weighted_score,10,0.9251700680272108,3.0816326530612246
weighted_score,5,0.34507042253521125,2.4366197183098586
weighted_score,9,0.7857142857142857,2.478021978021978
weighted_score,7,0.6387096774193548,2.264516129032258
weighted_score,8,0.6445783132530121,2.2228915662650603
