metric,metric_score,pct_correct,delta_score
momentum,2,0.5196078431372549,2.4411764705882355
momentum,0,0.42857142857142855,2.6785714285714284
momentum,1,0.5925925925925926,2.148148148148148
momentum,3,0.375,2.5
momentum,4,0.6428571428571429,2.8571428571428568
overlays,3,0.4814814814814815,2.185185185185185
overlays,4,0.4545454545454545,2.1818181818181817
overlays,6,0.7777777777777778,2.055555555555556
overlays,0,0.0,3.2222222222222223
overlays,2,0.2727272727272727,2.8181818181818183
overlays,1,0.32,2.3600000000000003
overlays,8,0.8888888888888888,2.4444444444444446
overlays,5,0.26666666666666666,2.0
overlays,7,0.6666666666666666,2.888888888888889
overlays,9,1.0,2.666666666666667
other,0,0.5178571428571429,2.4642857142857144
other,1,0.4950495049504951,2.4257425742574257
other,3,0.7222222222222222,2.7777777777777777
other,2,0.25,2.25
score,5,0.4782608695652174,2.391304347826087
score,6,0.5,2.1666666666666665
score,8,0.5263157894736842,2.1052631578947367
score,2,0.0,2.888888888888889
score,3,0.05882352941176471,2.588235294117647
score,10,0.75,3.0
score,7,0.5,2.3
score,4,0.25,2.625
score,11,0.8571428571428571,2.333333333333333
score,1,0.0,3.2
score,9,0.6875,2.25
score,13,1.0,2.0
score,12,1.0,2.875
score,16,1.0,4.0
score,14,1.0,3.0
weighted_score,5,0.5,2.166666666666667
weighted_score,4,0.5333333333333333,2.2
weighted_score,8,0.7894736842105263,2.2631578947368416
weighted_score,0,0.0,3.0
weighted_score,1,0.18181818181818185,2.409090909090909
weighted_score,3,0.3125,2.4375
weighted_score,2,0.2727272727272727,2.5454545454545454
weighted_score,6,0.6,2.4000000000000004
weighted_score,7,0.6875,2.6875
weighted_score,9,0.9333333333333332,2.7333333333333334
weighted_score,10,1.0,2.4000000000000004
