metric,metric_score,direction,ntile,pct_correct,delta_pct,probability
weighted_score,5,down,2,0.737,0.211,0.155
momentum,2,down,1,0.48,0.32,0.154
overlays,7,up,3,0.619,0.238,0.147
momentum,2,up,2,0.52,0.28,0.146
other,2,up,3,0.537,0.272,0.146
overlays,7,down,1,0.381,0.381,0.145
weighted_score,2,down,3,0.679,0.214,0.145
score,6,up,2,0.412,0.353,0.145
overlays,7,down,2,0.381,0.381,0.145
other,1,down,2,0.452,0.315,0.142
score,14,up,1,0.923,0.154,0.142
momentum,0,down,1,0.424,0.333,0.141
momentum,0,down,3,0.424,0.333,0.141
momentum,0,down,2,0.424,0.333,0.141
other,1,up,3,0.534,0.26,0.139
momentum,3,down,3,0.457,0.304,0.139
score,6,down,1,0.588,0.235,0.138
score,9,up,2,0.55,0.25,0.138
other,3,up,1,0.68,0.2,0.136
weighted_score,8,up,3,0.714,0.19,0.136
score,9,down,3,0.45,0.3,0.135
momentum,2,down,2,0.48,0.28,0.134
weighted_score,3,up,2,0.421,0.316,0.133
overlays,4,down,2,0.385,0.346,0.133
score,8,down,2,0.316,0.421,0.133
weighted_score,4,down,2,0.281,0.469,0.132
overlays,8,up,1,0.846,0.154,0.13
score,3,down,3,0.846,0.154,0.13
momentum,4,down,1,0.389,0.333,0.13
score,10,down,2,0.414,0.31,0.128
weighted_score,2,up,1,0.321,0.393,0.126
weighted_score,2,up,2,0.321,0.393,0.126
other,2,down,3,0.463,0.272,0.126
score,8,down,1,0.316,0.395,0.125
weighted_score,3,down,1,0.579,0.211,0.122
weighted_score,8,down,1,0.286,0.429,0.122
score,10,up,3,0.586,0.207,0.121
score,8,up,3,0.658,0.184,0.121
overlays,6,up,3,0.742,0.161,0.12
weighted_score,10,up,1,0.958,0.125,0.12
other,1,down,3,0.452,0.26,0.118
weighted_score,5,down,3,0.737,0.158,0.116
score,13,down,3,0.238,0.476,0.113
score,9,down,2,0.45,0.25,0.113
overlays,4,up,3,0.577,0.192,0.111
weighted_score,6,down,1,0.263,0.421,0.111
overlays,5,up,2,0.577,0.192,0.111
overlays,5,up,3,0.577,0.192,0.111
other,0,down,2,0.577,0.192,0.111
weighted_score,8,down,2,0.286,0.381,0.109
overlays,6,down,2,0.258,0.419,0.108
overlays,6,down,1,0.258,0.419,0.108
weighted_score,4,up,3,0.688,0.156,0.107
score,4,up,2,0.2,0.533,0.107
weighted_score,4,down,1,0.281,0.375,0.105
overlays,2,up,1,0.538,0.192,0.104
momentum,4,up,2,0.611,0.167,0.102
score,7,up,3,0.545,0.182,0.099
score,6,up,1,0.412,0.235,0.097
overlays,7,down,3,0.381,0.238,0.091
other,3,down,2,0.32,0.28,0.09
overlays,2,down,1,0.462,0.192,0.089
weighted_score,3,up,1,0.421,0.211,0.089
score,10,down,3,0.414,0.207,0.086
score,7,down,3,0.455,0.182,0.083
weighted_score,6,down,2,0.263,0.316,0.083
overlays,8,down,3,0.154,0.538,0.083
score,3,up,1,0.154,0.538,0.083
overlays,5,down,2,0.423,0.192,0.081
overlays,5,down,3,0.423,0.192,0.081
other,0,up,2,0.423,0.192,0.081
score,12,down,1,0.211,0.368,0.078
score,12,down,3,0.211,0.368,0.078
score,5,up,3,0.16,0.48,0.077
overlays,4,down,3,0.385,0.192,0.074
weighted_score,7,down,1,0.2,0.36,0.072
weighted_score,2,up,3,0.321,0.214,0.069
weighted_score,9,down,3,0.167,0.417,0.069
weighted_score,6,down,3,0.263,0.263,0.069
score,13,down,2,0.238,0.286,0.068
other,0,down,1,0.577,0.115,0.067
momentum,4,down,2,0.389,0.167,0.065
other,3,down,1,0.32,0.2,0.064
weighted_score,7,down,3,0.2,0.32,0.064
weighted_score,1,up,1,0.16,0.4,0.064
weighted_score,1,up,3,0.16,0.4,0.064
weighted_score,7,down,2,0.2,0.32,0.064
overlays,1,up,1,0.161,0.387,0.062
overlays,3,down,3,0.619,0.095,0.059
score,8,down,3,0.316,0.184,0.058
score,13,down,1,0.238,0.238,0.057
overlays,1,up,3,0.161,0.355,0.057
weighted_score,9,down,2,0.167,0.333,0.056
score,12,down,2,0.211,0.263,0.055
weighted_score,5,up,2,0.263,0.211,0.055
weighted_score,8,down,3,0.286,0.19,0.054
score,4,up,1,0.2,0.267,0.053
other,0,up,1,0.423,0.115,0.049
score,11,down,3,0.125,0.375,0.047
score,3,up,2,0.154,0.308,0.047
overlays,8,down,2,0.154,0.308,0.047
score,5,up,1,0.16,0.28,0.045
weighted_score,4,down,3,0.281,0.156,0.044
weighted_score,5,up,3,0.263,0.158,0.042
overlays,1,up,2,0.161,0.258,0.042
overlays,6,down,3,0.258,0.161,0.042
weighted_score,9,down,1,0.167,0.25,0.042
score,14,down,3,0.077,0.538,0.041
score,4,up,3,0.2,0.2,0.04
